game_id,year,week,away,home,away_score,home_score,temp,forecast,is_dome,wind_speed,wind_direct
1726115998,2017,2,Browns,Ravens,10,24,78,Mostly Cloudy,FALSE,1,ENE
1978514219,2017,2,Bears,Buccaneers,7,29,88,Clear,FALSE,4,NNE
3404980493,2017,2,Vikings,Steelers,9,26,78,Clear,FALSE,0,S
4098963836,2017,2,Patriots,Saints,36,20,72,DOME,TRUE,3,NE
2316114596,2017,2,Eagles,Chiefs,20,27,65,Overcast,FALSE,3,NNE
1053744029,2017,2,Titans,Jaguars,37,16,86,Clear,FALSE,7,NNE
2636764234,2017,2,Cardinals,Colts,16,13,72,DOME,TRUE,3,SSW
1688801085,2017,2,Bills,Panthers,3,9,81,Partly Cloudy,FALSE,3,NE
380191073,2017,2,Jets,Raiders,20,45,70,Clear,FALSE,3,WSW
3210717460,2017,2,Dolphins,Chargers,19,17,71,Partly Cloudy,FALSE,3,WSW
3710839100,2017,2,49ers,Seahawks,9,12,63,Drizzle,FALSE,5,SSW
1560834207,2017,2,Redskins,Rams,27,20,71,Mostly Cloudy,FALSE,4,SW
1600614865,2017,2,Cowboys,Broncos,17,42,69,Partly Cloudy,FALSE,1,NW
1780215161,2017,2,Packers,Falcons,23,34,72,DOME,TRUE,1,NNW
3683876684,2017,2,Lions,Giants,24,10,70,Partly Cloudy,FALSE,2,ENE
777214355,2017,3,Rams,49ers,41,39,65,Clear,FALSE,5,W
3841653598,2017,3,Ravens,Jaguars,7,44,70,Partly Cloudy,FALSE,7,SSE
2593304519,2017,3,Browns,Colts,28,31,72,DOME,TRUE,2,ESE
1978712346,2017,3,Giants,Eagles,24,27,87,Clear,FALSE,2,NE
1399983642,2017,3,Dolphins,Jets,6,20,87,Clear,FALSE,1,NE
1520741462,2017,3,Broncos,Bills,16,26,84,Clear,FALSE,4,NNE
4078220071,2017,3,Saints,Panthers,34,13,81,Clear,FALSE,4,NE
2230628601,2017,3,Steelers,Bears,17,23,87,Clear,FALSE,3,SSE
405851711,2017,3,Falcons,Lions,30,26,72,DOME,TRUE,4,SE
3063262703,2017,3,Buccaneers,Vikings,17,34,72,DOME,TRUE,7,S
2838425368,2017,3,Texans,Patriots,33,36,84,Clear,FALSE,0,NE
2773406628,2017,3,Seahawks,Titans,27,33,88,Clear,FALSE,2,S
185181182,2017,3,Bengals,Packers,24,27,88,Clear,FALSE,7,S
2560461707,2017,3,Chiefs,Chargers,24,10,81,Clear,FALSE,4,SW
3240485370,2017,3,Raiders,Redskins,10,27,73,Clear,FALSE,0,SE
2395628218,2017,3,Cowboys,Cardinals,28,17,72,DOME,TRUE,2,SW
3590303715,2017,4,Bears,Packers,14,35,64,Partly Cloudy,FALSE,4,SW
522073873,2017,4,Saints,Dolphins,20,0,62,Mostly Cloudy,FALSE,9,SSW
2605128964,2017,4,Titans,Texans,14,57,84,Clear,FALSE,0,E
1071458598,2017,4,Jaguars,Jets,20,23,64,Clear,FALSE,1,N
204782541,2017,4,Panthers,Patriots,33,30,61,Clear,FALSE,1,NNW
258740504,2017,4,Lions,Vikings,14,7,72,DOME,TRUE,7,SSE
1053585053,2017,4,Bills,Falcons,23,17,72,DOME,TRUE,7,ENE
2181468934,2017,4,Steelers,Ravens,26,9,64,Clear,FALSE,1,NNE
1503825045,2017,4,Bengals,Browns,31,7,64,Clear,FALSE,2,SE
3463372907,2017,4,Rams,Cowboys,35,30,80,Clear,FALSE,3,SSE
3621754714,2017,4,Eagles,Chargers,26,24,74,Partly Cloudy,FALSE,4,SSW
282410265,2017,4,Giants,Buccaneers,23,25,89,Rain,FALSE,4,E
4208066253,2017,4,49ers,Cardinals,15,18,72,DOME,TRUE,2,SSE
